name  state  reads_raw  reads_passed_filter  refseq_mapped_reads  refseq_unmapped_reads  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
P4_C12_BEL_KEY_SP          7    3182904              3181472               634841                2546631           22893             10621    0.004205   0.000814          10033              5666
P4_D01_RUM_S1_SP           7    4221363              4220508               909615                3310893           23289             10784    0.003805   0.000736          10273              5966
P4_D02_RUM_S1_SP           7    3386114              3385102               725223                2659879           23279              9734    0.004588   0.000740           9117              5696
P4_D03_RUM_S1_SP           7    1178315              1178011               257986                 920025           16209              6736    0.003790   0.000751           6430              4852
P4_D04_BEL_ROS_SP          7    1462517              1462247               301735                1160512           18277              7344    0.004072   0.000824           6992              5068
P4_D05_BEL_ROS_SP          7    5414485              5412291              1120092                4292199           24708             12569    0.003787   0.000709          11865              5996
P4_D06_ROW_S2_SP           7    2037338              2035576               445716                1589860           23570             11575    0.005041   0.000783          10798              5673
P4_D07_ROW_S2_SP           7    2735490              2734381               586155                2148226           24116             11686    0.004686   0.000758          11019              5974
P4_D08_ROW_S2_SP           7     261649               261595                57101                 204494            9725              3590    0.004148   0.000912           3414              2883
P4_D10_BEL_KEY_SP          7    3969032              3968254               837772                3130482           21003             10217    0.003623   0.000714           9781              5702
P4_D11_BEL_KEY_SP          7    2398460              2397171               489009                1908162           23017              9975    0.004959   0.000762           9339              5670
P4_D12_BEL_KEY_SP          7     349864               349777                72798                 276979           10355              4210    0.003748   0.000883           4033              3352
P4_E01_RUM_S1_SP           7    2906934              2904722               626875                2277847           26039             14777    0.004469   0.000774          13935              6118
P4_E02_RUM_S1_SP           7    5748726              5744674              1230280                4514394           25930             17449    0.003456   0.000672          16730              6078
P4_E04_BEL_ROS_SP          7    4078136              4076874               838576                3238298           26247             13487    0.004328   0.000788          12717              6143
P4_E05_BEL_ROS_SP          7    6749943              6747969              1329013                5418956           27046             14348    0.004316   0.000702          13528              6156
P4_E06_ROW_S2_SP           7    3911945              3910822               861864                3048958           26737             14053    0.004287   0.000777          13264              6180
P4_E07_ROW_S2_SP           7    5082974              5081753              1112612                3969141           24774             12072    0.004004   0.000703          11449              6166
P4_E08_ROW_S2_SP           7    2756169              2755342               600761                2154581           23592             11975    0.003936   0.000867          11338              5902
P4_E09_BEL_LBE_SP          7    2674460              2672874               568214                2104660           25409             14250    0.004473   0.000798          13473              6017
P4_E10_BEL_KEY_SP          7    3827631              3826386               801601                3024785           24568              9921    0.005211   0.000829           9254              5777
P4_E11_BEL_KEY_SP          7    3139177              3138516               667282                2471234           17425              8788    0.003473   0.000732           8464              5485
P4_E12_BEL_KEY_SP          7     559779               559625               120822                 438803           11475              5238    0.004396   0.000908           5015              3996
P4_F01_RUM_S1_SP           7    2601116              2599590               522236                2077354           20642              8920    0.004073   0.000750           8415              5368
P4_F02_RUM_S1_SP           7    5686952              5684104              1223956                4460148           25778             15536    0.003769   0.000669          14782              6079
P4_F03_BEL_ROS_SP          7    4490473              4489237               962435                3526802           24104             10892    0.004557   0.000688          10250              5884
P4_F04_BEL_ROS_SP          7    5057683              5056533              1072552                3983981           23105             10449    0.004017   0.000713           9885              5651
P4_F05_BEL_ROS_SP          7    6461784              6458509              1349720                5108789           28658             18094    0.003534   0.000773          17256              6254
P4_F06_ROW_S2_SP           7    5066438              5065371              1131824                3933547           25616             12470    0.003902   0.000736          11845              6135
P4_F07_ROW_S2_SP           7    1257610              1255437               257710                 997727           21559              9731    0.005117   0.000824           9001              4887
P4_F08_ROW_S2_SP           7    2929422              2928741               622707                2306034           23994             12231    0.003818   0.000821          11635              5976
P4_F09_BEL_LBE_SP          7    1437067              1435116               303985                1131131           20756              9217    0.004410   0.000815           8675              4967
P4_F11_BEL_KEY_SP          7    3949640              3947606               822407                3125199           20375              9081    0.003675   0.000689           8654              5233
P4_G01_RUM_S1_SP           7    6502378              6497912              1404688                5093224           28386             17967    0.003687   0.000683          17097              6235
P4_G02_RUM_S1_SP           7    3633108              3627415               793854                2833561           24627             16324    0.003572   0.000727          15574              6001
P4_G03_BEL_ROS_SP          7    5121885              5119981              1054075                4065906           26733             14643    0.004267   0.000770          13856              6146
P4_G04_BEL_ROS_SP          7    3965748              3964835               811721                3153114           23818             10644    0.004444   0.000763          10039              5839
P4_G05_BEL_ROS_SP          7    3402604              3400829               683746                2717083           22510             10457    0.004212   0.000733           9872              5696
P4_G06_ROW_S2_SP           7    5699892              5697948              1242486                4455462           27539             14672    0.004336   0.000731          13809              6204
P4_G07_ROW_S2_SP           7    2030125              2028216               430455                1597761           21156              8892    0.004632   0.000759           8339              5238
P4_G09_BEL_LBE_SP          7    1577088              1576224               320923                1255301           18993              7908    0.003601   0.000781           7505              4880
P4_G10_BEL_KEY_SP          7    3116142              3115448               658343                2457105           26117             11563    0.008708   0.000940          10615              5723
P4_G11_BEL_KEY_SP          7    3365052              3364357               702534                2661823           18597              8328    0.003785   0.000721           7983              5383
P4_H01_RUM_S1_SP           7    5792421              5789450              1247455                4541995           27623             15623    0.003983   0.000695          14822              6201
P4_H02_RUM_S1_SP           7    4129778              4126138               858782                3267356           24221             12063    0.004210   0.000707          11280              5738
P4_H03_BEL_ROS_SP          7    5287197              5285279              1084722                4200557           26135             13256    0.004326   0.000723          12445              6082
P4_H04_BEL_ROS_SP          7    4115266              4113835               848158                3265677           25605             11793    0.004845   0.000741          11006              6025
P4_H05_BEL_ROS_SP          7    6000035              5997197              1278031                4719166           26175             14871    0.003712   0.000693          14073              6068
P4_H06_ROW_S2_SP           7    4820509              4819151              1033838                3785313           26201             12896    0.004275   0.000705          12156              6184
P4_H07_ROW_S2_SP           7    5296670              5295122              1151258                4143864           26877             12993    0.004283   0.000745          12203              6209
P4_H08_BEL_LBE_SP          7    1636621              1636234               347127                1289107           18971              8160    0.004037   0.000801           7740              5304
